POINT_1_STREET;POINT_2_STREET;POINT_1_NAME;POINT_2_NAME;DURATION_IN_SEC;POINT_1_CITY;POINT_2_CITY;POINT_1_LAT;POINT_1_LNG;POINT_2_LAT;NDT_IN_KMH;POINT_2_POSTAL_CODE;POINT_2_COUNTRY;POINT_1_STREET_NUMBER;ORGANISATION;POINT_1_POSTAL_CODE;POINT_2_STREET_NUMBER;;extID;ROAD_TYPE;REPORT_ID;POINT_1_COUNTRY;DISTANCE_IN_METERS;REPORT_NAME;RBA_ID;_id
Jyllands Alle;Vestavej;4548;4568;86;Højbjerg;Højbjerg;56.12994;10.18732968;56.12391431;33;8270;Denmark;105;COWI;8270;2;;558;MAJOR_ROAD;204007;Denmark;798;AAR_BT_0478 4548 4568;229581;1965
Hasle Ringvej;Hasle Ringvej;2657;2656;43;Aarhus;Aarhus;56.17505006;10.17152604;56.17312782;54;8210;Denmark;0;COWI;8210;27;;219;MAJOR_ROAD;179364;Denmark;641;AAR_BT_0126 2657 2656;180169;1626
Nørrebrogade;;3152;4374;79;Aarhus;Aarhus;56.1681376;10.20690854;56.16101782;39;8000;Denmark;45;COWI;8000;0;;253;MAJOR_ROAD;182657;Denmark;852;AAR_BT_0160 3152 4374;183575;1660
Skanderborgvej;Skanderborgvej;3986;4559;88;Aarhus;Aarhus;56.12582958;10.15770902;56.11919616;48;8260;Denmark;222;COWI;8260;222;;486;MAJOR_ROAD;197705;Denmark;1181;AAR_BT_0406 3986 4559;229437;1893
Jyllands Alle;Jyllands Alle;4554;4548;48;Aarhus;Højbjerg;56.13458496;10.18985733;56.12994;42;8270;Denmark;105;COWI;8000;105;;508;MAJOR_ROAD;198301;Denmark;554;AAR_BT_0428 4554 4548;229481;1915
Vestavej;Rosenvangs Alle;4568;4368;131;Højbjerg;Højbjerg;56.12391431;10.18591478;56.1169222;37;8270;Denmark;2;COWI;8270;233;;511;MAJOR_ROAD;201211;Denmark;1333;AAR_BT_0431 4568 4368;229487;1918
Ringvej Syd;Christian X's Vej;4334;4563;163;Aarhus;Højbjerg;56.118145;10.14813107;56.12004118;43;8270;Denmark;0;COWI;8260;169;;541;MAJOR_ROAD;203557;Denmark;1943;AAR_BT_0461 4334 4563;229547;1948
Christian X's Vej;Ringvej Syd;4563;4334;163;Højbjerg;Aarhus;56.12004118;10.16744167;56.11819883;42;8260;Denmark;169;COWI;8270;100;;542;MAJOR_ROAD;203583;Denmark;1907;AAR_BT_0462 4563 4334;229549;1949
Skanderborgvej;Rosenvangs Alle;3987;4556;112;Aarhus;Aarhus;56.13096577;10.16631862;56.13417989;42;8260;Denmark;169;COWI;8260;30;;548;MAJOR_ROAD;203742;Denmark;1309;AAR_BT_0468 3987 4556;229561;1955
Paludan-Müllers Vej;Hasle Ringvej;3983;2657;80;Aarhus;Aarhus;56.17389164;10.18218396;56.17505006;40;8210;Denmark;48;COWI;8200;48;;296;MAJOR_ROAD;185263;Denmark;880;AAR_BT_0203 3983 2657;186245;1703
Nordre Ringgade;Randersvej;3183;3977;93;Aarhus;Aarhus;56.17243586;10.20921913;56.17606862;31;8200;Denmark;64B;COWI;8200;54;;327;MAJOR_ROAD;187589;Denmark;802;AAR_BT_0234 3183 3977;189708;1734
Randersvej;Nordre Ringgade;3977;3183;97;Aarhus Municipality;Aarhus;56.17603875;10.20161666;56.17235121;31;8200;Denmark;51;COWI;8200;64B;;328;MAJOR_ROAD;187615;Denmark;839;AAR_BT_0235 3977 3183;189710;1735
Ravnsbjergvej;Ringvej Syd;4552;4334;91;Aarhus;Aarhus;56.12430428;10.14166338;56.118145;32;8260;Denmark;0;COWI;8260;0;;487;MAJOR_ROAD;197734;Denmark;813;AAR_BT_0407 4552 4334;229439;1894
Christian X's Vej;Christian X's Vej;4563;4550;124;Højbjerg;Højbjerg;56.12004118;10.16744167;56.11028821;40;8270;Denmark;169;COWI;8270;169;;500;MAJOR_ROAD;198085;Denmark;1383;AAR_BT_0420 4563 4550;229465;1907
Jyllands Alle;Christian X's Vej;4553;4563;100;Aarhus;Højbjerg;56.12437833;10.18005602;56.12004118;35;8270;Denmark;158;COWI;8260;169;;504;MAJOR_ROAD;198193;Denmark;965;AAR_BT_0424 4553 4563;229473;1911
Skanderborgvej;Ravnsbjergvej;4559;4552;84;Aarhus;Aarhus;56.11906159;10.14303639;56.12430428;35;8260;Denmark;0;COWI;8260;0;;532;MAJOR_ROAD;201775;Denmark;806;AAR_BT_0452 4559 4552;229529;1939
;Søndre Ringgade;3979;3197;75;Aarhus;Aarhus;56.14183597;10.19290604;56.14572219;27;8000;Denmark;0;COWI;8000;52;;572;MAJOR_ROAD;206051;Denmark;569;AAR_BT_0492 3979 3197;229609;1979
Spanien;Strandvejen;3189;3190;42;Aarhus;Aarhus;56.14892751;10.20959978;56.14472623;40;8000;Denmark;63;COWI;8000;36;;205;MAJOR_ROAD;178983;Denmark;472;AAR_BT_0112 3189 3190;180141;1612
Grenåvej;Vejlby Ringvej;4582;2661;65;Risskov;Risskov;56.18654627;10.21830381;56.18707126;40;8240;Denmark;126;COWI;8240;126;;283;MAJOR_ROAD;184919;Denmark;728;AAR_BT_0190 4582 2661;186219;1690
Hasle Ringvej;Paludan-Müllers Vej;2658;3983;75;Aarhus;Aarhus;56.1787106;10.18448532;56.17389164;37;8200;Denmark;0;COWI;8200;48;;293;MAJOR_ROAD;185184;Denmark;779;AAR_BT_0200 2658 3983;186239;1700
Viborgvej;Hasle Ringvej;3159;2656;54;Aarhus;Aarhus;56.17262996;10.15343615;56.17304495;44;8210;Denmark;209;COWI;8210;36;;298;MAJOR_ROAD;185316;Denmark;665;AAR_BT_0205 3159 2656;186249;1705
Åby Ringvej;Viborgvej;2655;3159;75;Aarhus;Aarhus;56.16786719;10.15157946;56.17267849;35;8210;Denmark;0;COWI;8210;209;;301;MAJOR_ROAD;185396;Denmark;739;AAR_BT_0208 2655 3159;186255;1708
Silkeborgvej;Åby Ringvej;3199;2654;124;Aarhus;Aarhus;56.15461014;10.15744022;56.16018043;46;8230;Denmark;303;COWI;8230;303;;308;MAJOR_ROAD;187085;Denmark;1578;AAR_BT_0215 3199 2654;189670;1715
Oddervej;Oddervej;4372;4379;86;Højbjerg;Højbjerg;56.10506953;10.20692744;56.114487;45;8270;Denmark;172;COWI;8270;70-74;;522;MAJOR_ROAD;201507;Denmark;1074;AAR_BT_0442 4372 4379;229509;1929
Søndre Ringgade;Jyllands Alle;3197;4554;147;Aarhus;Aarhus;56.14563851;10.1867623;56.13458496;33;8000;Denmark;63;COWI;8000;63;;589;MAJOR_ROAD;206502;Denmark;1335;AAR_BT_0509 3197 4554;229643;1996
Søftenvej;Søftenvej;4350;4349;46;Aarhus;Aarhus;56.20417258;10.17540695;56.20869704;81;8200;Denmark;0;COWI;8200;0;;181;MAJOR_ROAD;158954;Denmark;1030;AAR_BT_0022 4350 4349;161140;1588
Grenåvej;Grenåvej;3181;4582;31;Risskov;Risskov;56.18290049;10.21797824;56.18654627;47;8240;Denmark;105;COWI;8240;126;;196;MAJOR_ROAD;178739;Denmark;406;AAR_BT_0103 3181 4582;180123;1603
Jyllands Alle;Jyllands Alle;4553;4548;84;Aarhus;Højbjerg;56.12437833;10.18005602;56.12994;35;8270;Denmark;158;COWI;8260;105;;505;MAJOR_ROAD;198221;Denmark;825;AAR_BT_0425 4553 4548;229475;1912
Genvejen;Møllebakken;4549;4561;159;Hasselager;Hasselager;56.11996007;10.08367829;56.10806431;66;8361;Denmark;0;COWI;8361;60;;527;MAJOR_ROAD;201643;Denmark;2915;AAR_BT_0447 4549 4561;229519;1934
Genvejen;Møllebakken;4549;4562;165;Hasselager;Hasselager;56.11996007;10.08367829;56.11059012;64;8361;Denmark;0;COWI;8361;15;;529;MAJOR_ROAD;201696;Denmark;2949;AAR_BT_0449 4549 4562;229523;1936
Møllebakken;Genvejen;4562;4549;155;Hasselager;Hasselager;56.11067163;10.12228671;56.11996007;68;8361;Denmark;15;COWI;8361;15;;530;MAJOR_ROAD;201722;Denmark;2911;AAR_BT_0450 4562 4549;229525;1937
Ravnsbjergvej;Skanderborgvej;4552;4559;82;Aarhus;Aarhus;56.12430428;10.14166338;56.11919616;34;8260;Denmark;0;COWI;8260;0;;531;MAJOR_ROAD;201749;Denmark;777;AAR_BT_0451 4552 4559;229527;1938
Rosenvangs Alle;Skanderborgvej;4556;3987;165;Aarhus;Aarhus;56.13417989;10.17948788;56.13105396;29;8260;Denmark;30;COWI;8260;168;;547;MAJOR_ROAD;203716;Denmark;1326;AAR_BT_0467 4556 3987;229559;1954
Marselis Boulevard;Marselis Boulevard;3989;3979;49;Aarhus;Aarhus;56.14079407;10.19885285;56.14183597;36;8000;Denmark;50;COWI;8000;50;;576;MAJOR_ROAD;206157;Denmark;488;AAR_BT_0496 3989 3979;229617;1983
Vestre Ringgade;Vestre Ringgade;3193;3192;69;Aarhus;Aarhus;56.16389697;10.18616225;56.16929517;42;8000;Denmark;53;COWI;8210;210;;238;MAJOR_ROAD;180952;Denmark;801;AAR_BT_0145 3193 3192;182224;1645
Søren Frichs Vej;Søren Frichs Vej;3984;3985;108;Aarhus;Århus C;56.14774074;10.15806073;56.1519497;41;8000;Denmark;80;COWI;8230;39;;277;MAJOR_ROAD;184758;Denmark;1222;AAR_BT_0184 3984 3985;186207;1684
Nordre Ringgade;Nørrebrogade;3183;3152;86;Aarhus;Aarhus;56.17243586;10.20921913;56.1681376;31;8000;Denmark;64B;COWI;8200;45;;329;MAJOR_ROAD;187642;Denmark;730;AAR_BT_0236 3183 3152;189712;1736
Randersvej;Nordre Ringgade;3977;3191;72;Aarhus Municipality;Aarhus;56.17603875;10.20161666;56.17122708;35;8000;Denmark;51;COWI;8200;3;;332;MAJOR_ROAD;187721;Denmark;700;AAR_BT_0239 3977 3191;189718;1739
Grenåvej;Grenåvej;4572;4567;57;Risskov;Risskov;56.1976518;10.22863922;56.20043625;56;8240;Denmark;0;COWI;8240;0;;382;MAJOR_ROAD;190717;Denmark;883;AAR_BT_0290 4572 4567;192390;1789
Paludan-Müllers Vej;Hasle Ringvej;4363;2657;95;Aarhus;Aarhus;56.17932241;10.17533821;56.17505006;33;8210;Denmark;231;COWI;8200;231;;449;MAJOR_ROAD;195392;Denmark;870;AAR_BT_0369 4363 2657;229182;1856
Hasle Ringvej;Jernaldervej;2656;4338;84;Aarhus;Aarhus;56.17312782;10.16175769;56.1708868;41;8210;Denmark;27;COWI;8210;7A;;452;MAJOR_ROAD;195472;Denmark;955;AAR_BT_0372 2656 4338;229188;1859
Hestagervej;Silkeborgvej;4344;4343;91;Aarhus;Aarhus;56.15457259;10.07239191;56.15286328;44;8220;Denmark;0;COWI;8220;699;;475;MAJOR_ROAD;197408;Denmark;1117;AAR_BT_0395 4344 4343;229234;1882
Strandvejen;Spanien;3190;3189;49;Aarhus;Aarhus;56.14471913;10.20872971;56.14892751;35;8000;Denmark;36;COWI;8000;63;;206;MAJOR_ROAD;179009;Denmark;473;AAR_BT_0113 3190 3189;180143;1613
Hasle Ringvej;Viborgvej;2656;3159;50;Aarhus;Aarhus;56.17312782;10.16175769;56.17267849;46;8210;Denmark;27;COWI;8210;209;;297;MAJOR_ROAD;185290;Denmark;640;AAR_BT_0204 2656 3159;186247;1704
Grenåvej;Vejlby Centervej;4581;4564;66;Risskov;Risskov;56.19369242;10.21908612;56.19687844;30;8240;Denmark;0;COWI;8240;7;;416;MAJOR_ROAD;193079;Denmark;543;AAR_BT_0336 4581 4564;229116;1823
Jernaldervej;Åby Ringvej;4338;2655;60;Aarhus;Aarhus;56.1708868;10.14954792;56.16798815;31;8210;Denmark;7A;COWI;8210;7A;;453;MAJOR_ROAD;195499;Denmark;515;AAR_BT_0373 4338 2655;229190;1860
Edwin Rahrs Vej;Hestagervej;4328;4344;121;Aarhus;Aarhus;56.15966871;10.07716983;56.15457259;30;8220;Denmark;0;COWI;8220;0;;472;MAJOR_ROAD;197328;Denmark;1024;AAR_BT_0392 4328 4344;229228;1879
Hovedvejen;Møllebakken;4551;4561;224;Hasselager;Hasselager;56.10071339;10.06279058;56.10806431;54;8361;Denmark;0;COWI;8361;60;;479;MAJOR_ROAD;197518;Denmark;3331;AAR_BT_0399 4551 4561;229242;1886
Møllebakken;Hovedvejen;4561;4551;221;Hasselager;Hasselager;56.10806431;10.1147005;56.1007822;54;8361;Denmark;60;COWI;8361;240;;480;MAJOR_ROAD;197544;Denmark;3334;AAR_BT_0400 4561 4551;229425;1887
Mejlbyvej;Djurslandmotorvejen;4352;4327;185;Ega;Lystrup;56.22020076;10.26776222;56.22537225;60;8520;Denmark;58;COWI;8250;58;;597;MAJOR_ROAD;209907;Denmark;3082;AAR_BT_0517 4352 4327;229659;2004
Vestre Ringgade;Nordre Ringgade;3192;3191;43;Aarhus;Aarhus;56.16929517;10.19452647;56.17112255;40;8000;Denmark;210;COWI;8000;210;;236;MAJOR_ROAD;180898;Denmark;476;AAR_BT_0143 3192 3191;182220;1643
Nørreport;Nørrebrogade;4374;3152;75;Aarhus;Aarhus;56.16107681;10.21218127;56.16816672;41;8000;Denmark;18;COWI;8000;44;;254;MAJOR_ROAD;182683;Denmark;850;AAR_BT_0161 4374 3152;183577;1661
Viborgvej;Viborgvej;3157;3158;119;Aarhus;Aarhus;56.16244695;10.17839595;56.16914803;40;8210;Denmark;47;COWI;8210;165-167;;258;MAJOR_ROAD;182792;Denmark;1330;AAR_BT_0165 3157 3158;183585;1665
Spanien;Nørreport;3189;4374;238;Aarhus;Aarhus;56.14892751;10.20959978;56.16107681;23;8000;Denmark;63;COWI;8000;18;;360;MAJOR_ROAD;190126;Denmark;1508;AAR_BT_0267 3189 4374;192346;1767
Marselis Boulevard;Skanderborgvej;3990;4373;46;Aarhus;Aarhus;56.13959744;10.18663264;56.13844852;40;8260;Denmark;135;COWI;8000;106;;363;MAJOR_ROAD;190206;Denmark;509;AAR_BT_0270 3990 4373;192352;1770
Grenåvej;Grenåvej;4341;4357;245;Skødstrup;Ega;56.25625596;10.30366764;56.23001329;46;8250;Denmark;0;COWI;8541;503;;369;MAJOR_ROAD;190367;Denmark;3104;AAR_BT_0277 4341 4357;192364;1776
Edwin Rahrs Vej;Edwin Rahrs Vej;4328;4325;174;Aarhus;Aarhus;56.15962241;10.07722347;56.16459887;45;8220;Denmark;0;COWI;8220;73-75;;437;MAJOR_ROAD;195070;Denmark;2196;AAR_BT_0357 4328 4325;229158;1844
Edwin Rahrs Vej;Edwin Rahrs Vej;4325;4330;89;Aarhus;Aarhus;56.16459887;10.10998427;56.16254305;41;8220;Denmark;73-75;COWI;8220;42;;439;MAJOR_ROAD;195124;Denmark;1014;AAR_BT_0359 4325 4330;229162;1846
Randersvej;Randersvej;3977;3154;49;Aarhus;Aarhus;56.17606862;10.20177089;56.1803125;37;8200;Denmark;54;COWI;8200;164;;250;MAJOR_ROAD;181277;Denmark;504;AAR_BT_0157 3977 3154;182248;1657
Viborgvej;Viborgvej;4339;3159;65;Aarhus;Aarhus;56.17734056;10.13834708;56.17262996;60;8210;Denmark;277;COWI;8210;209;;431;MAJOR_ROAD;194905;Denmark;1083;AAR_BT_0351 4339 3159;229146;1838
Edwin Rahrs Vej;Edwin Rahrs Vej;4325;4328;164;Aarhus;Aarhus;56.16459887;10.10998427;56.15966871;48;8220;Denmark;73-75;COWI;8220;73-75;;438;MAJOR_ROAD;195096;Denmark;2203;AAR_BT_0358 4325 4328;229160;1845
Silkeborgvej;Silkeborgvej;4343;3976;92;Aarhus;Aarhus;56.15286328;10.08789523;56.1532811;57;8220;Denmark;699;COWI;8220;699;;445;MAJOR_ROAD;195286;Denmark;1453;AAR_BT_0365 4343 3976;229174;1852
Hasle Ringvej;Paludan-Müllers Vej;2657;4363;91;Aarhus;Aarhus;56.17491718;10.17161187;56.17932241;36;8200;Denmark;0;COWI;8210;231;;450;MAJOR_ROAD;195418;Denmark;908;AAR_BT_0370 2657 4363;229184;1857
Anelystvej;Edwin Rahrs Vej;4345;4325;133;Tilst;Aarhus;56.16716656;10.09351661;56.16459887;34;8220;Denmark;35;COWI;8381;73-75;;467;MAJOR_ROAD;195870;Denmark;1261;AAR_BT_0387 4345 4325;229218;1874
Anelystvej;Edwin Rahrs Vej;4345;4328;111;Tilst;Aarhus;56.16716656;10.09351661;56.15966871;49;8220;Denmark;35;COWI;8381;35;;469;MAJOR_ROAD;195923;Denmark;1511;AAR_BT_0389 4345 4328;229222;1876
Silkeborgvej;Hestagervej;4332;4344;92;Aarhus;Aarhus;56.15244752;10.06473464;56.1546921;39;8220;Denmark;791;COWI;8220;7;;474;MAJOR_ROAD;197381;Denmark;993;AAR_BT_0394 4332 4344;229232;1881
Hasle Ringvej;Hasle Ringvej;2656;2657;41;Aarhus;Aarhus;56.17304495;10.1618234;56.17491718;56;8210;Denmark;36;COWI;8210;36;;220;MAJOR_ROAD;179390;Denmark;641;AAR_BT_0127 2656 2657;180171;1627
Viborgvej;Viborgvej;3157;3156;64;Aarhus;Aarhus;56.16236929;10.1783356;56.15941871;38;8000;Denmark;47;COWI;8210;14;;259;MAJOR_ROAD;182820;Denmark;670;AAR_BT_0166 3157 3156;183587;1666
Lystrupvej;Grenåvej;4340;4572;99;Risskov;Risskov;56.205074;10.23621753;56.19774431;44;8240;Denmark;42;COWI;8240;42;;411;MAJOR_ROAD;192946;Denmark;1207;AAR_BT_0331 4340 4572;229106;1818
Vejlby Centervej;Grenåvej;4564;4572;88;Risskov;Risskov;56.19677547;10.21621154;56.1976518;36;8240;Denmark;7;COWI;8240;7;;413;MAJOR_ROAD;193000;Denmark;872;AAR_BT_0333 4564 4572;229110;1820
Vestre Strandalle;Grenåvej;4351;4581;84;Risskov;Risskov;56.19038745;10.22311078;56.19369242;35;8240;Denmark;70A;COWI;8240;70A;;417;MAJOR_ROAD;193106;Denmark;810;AAR_BT_0337 4351 4581;229118;1824
Grenåvej;Vestre Strandalle;4581;4351;112;Risskov;Risskov;56.19371107;10.21887825;56.19038745;28;8240;Denmark;0;COWI;8240;70A;;418;MAJOR_ROAD;193132;Denmark;881;AAR_BT_0338 4581 4351;229120;1825
Paludan-Müllers Vej;Paludan-Müllers Vej;4363;3983;96;Aarhus;Aarhus;56.17932241;10.17533821;56.17389164;28;8200;Denmark;231;COWI;8200;48;;421;MAJOR_ROAD;193213;Denmark;742;AAR_BT_0341 4363 3983;229126;1828
Viborgvej;Viborgvej;4347;4335;68;Tilst;Tilst;56.18546282;10.09634485;56.18263729;59;8381;Denmark;0;COWI;8381;389;;425;MAJOR_ROAD;193322;Denmark;1111;AAR_BT_0345 4347 4335;229134;1832
Viborgvej;Viborgvej;3159;4339;67;Aarhus;Aarhus;56.17267849;10.15350857;56.17741297;58;8210;Denmark;209;COWI;8210;280;;432;MAJOR_ROAD;194931;Denmark;1085;AAR_BT_0352 3159 4339;229148;1839
Viby Ringvej;Silkeborgvej;2653;3200;91;Aarhus;Aarhus;56.14824209;10.14987431;56.15326735;40;8220;Denmark;0;COWI;8230;521;;309;MAJOR_ROAD;187112;Denmark;1023;AAR_BT_0216 2653 3200;189672;1716
Silkeborgvej;Viby Ringvej;3200;2653;69;Aarhus;Aarhus;56.15313589;10.13906037;56.14815842;52;8230;Denmark;521;COWI;8220;0;;310;MAJOR_ROAD;187138;Denmark;995;AAR_BT_0217 3200 2653;189674;1717
Viby Ringvej;Søren Frichs Vej;2653;3984;67;Aarhus;Aarhus;56.14815842;10.1496946;56.14774074;35;8230;Denmark;0;COWI;8230;80;;313;MAJOR_ROAD;187218;Denmark;653;AAR_BT_0220 2653 3984;189680;1720
Viby Ringvej;Søren Frichs Vej;2652;3984;84;Aarhus;Aarhus;56.14051552;10.15433815;56.14774074;46;8230;Denmark;104;COWI;8230;80;;315;MAJOR_ROAD;187271;Denmark;1080;AAR_BT_0222 2652 3984;189684;1722
Grenåvej;Nordre Ringgade;3181;3182;105;Risskov;Aarhus;56.18290049;10.21780255;56.17405423;38;8200;Denmark;105;COWI;8240;98;;325;MAJOR_ROAD;187536;Denmark;1096;AAR_BT_0232 3181 3182;189704;1732
Søndre Ringgade;Søren Frichs Vej;3196;3985;96;Aarhus;Århus C;56.1498479;10.18367947;56.1519497;32;8000;Denmark;0;COWI;8000;39;;353;MAJOR_ROAD;189941;Denmark;857;AAR_BT_0260 3196 3985;192332;1760
Søren Frichs Vej;Søndre Ringgade;3985;3196;96;Århus C;Aarhus;56.1519497;10.17614185;56.14980757;31;8000;Denmark;39;COWI;8000;0;;354;MAJOR_ROAD;189967;Denmark;838;AAR_BT_0261 3985 3196;192334;1761
Vejlby Ringvej;Vestre Strandalle;2661;4351;85;Risskov;Risskov;56.1869623;10.21245937;56.19038745;32;8240;Denmark;0;COWI;8240;70A;;402;MAJOR_ROAD;192707;Denmark;763;AAR_BT_0318 2661 4351;229088;1809
Åby Ringvej;Åby Ringvej;2654;2655;67;Aarhus;Aarhus;56.16018043;10.1435208;56.16786719;54;8210;Denmark;0;COWI;8230;0;;224;MAJOR_ROAD;180573;Denmark;1008;AAR_BT_0131 2654 2655;182196;1631
Viborgvej;Viborgvej;3159;3158;50;Aarhus;Aarhus;56.17262996;10.15343615;56.16914803;44;8210;Denmark;209;COWI;8210;165-167;;255;MAJOR_ROAD;182712;Denmark;613;AAR_BT_0162 3159 3158;183579;1662
Viborgvej;Viborgvej;3158;3159;56;Aarhus;Aarhus;56.16914803;10.16106271;56.17267849;39;8210;Denmark;165-167;COWI;8210;209;;256;MAJOR_ROAD;182738;Denmark;612;AAR_BT_0163 3158 3159;183581;1663
Viborgvej;Viborgvej;3156;3157;70;Aarhus;Aarhus;56.15941871;10.18776376;56.16244695;35;8210;Denmark;14;COWI;8000;47;;260;MAJOR_ROAD;182846;Denmark;672;AAR_BT_0167 3156 3157;183589;1667
Silkeborgvej;Silkeborgvej;3199;3200;95;Aarhus;Aarhus;56.15461014;10.15744022;56.15326735;44;8220;Denmark;303;COWI;8230;521;;268;MAJOR_ROAD;183063;Denmark;1151;AAR_BT_0175 3199 3200;183605;1675
Silkeborgvej;Silkeborgvej;3199;3198;111;Aarhus;Aarhus;56.15461014;10.15744022;56.15591411;38;8000;Denmark;303;COWI;8230;188;;269;MAJOR_ROAD;183091;Denmark;1168;AAR_BT_0176 3199 3198;183607;1676
